,States,x,y
0,Andhra Pradesh,-78.0, -146.0
1,Arunachal Pradesh,249.0, 170.0
2,Assam,222.0, 120.0
3,Bihar,62.0, 101.0 
4,Chhattisgarh,-9.0, 2.0
5,Goa,-195.0, -158.0
6,Gujarat,-231.0, 41.0
7,Haryana,-139.0, 183.0
8,Himachal Pradesh,-118.0, 249.0
9,Jharkhand,55.0, 45.0
10,Karnataka,-150.0, -171.0
11,Kerala,-141.0, -260.0
12,Madhya Pradesh,-105.0, 37.0
13,Maharashtra,-160.0, -42.0
14,Manipur,245.0, 87.0
15,Meghalaya,197.0, 98.0
16,Mizoram,222.0, 52.0
17,Nagaland,258.0, 119.0
18,Odisha,40.0, -22.0
19,Punjab,-158.0, 230.0
20,Rajasthan,-192.0, 122.0
21,Sikkim,124.0, 149.0
22,Tamil Nadu,-93.0, -249.0
23,Telangana,-87.0, -88.0 
24,Tripura,196.0, 57.0
25,Uttarakhand,-79.0, 214.0
26,Uttar Pradesh,-45.0, 130.0 
27,West Bengal,110.0, 44.0
